ID,Priority,FileLocation,Section,CurrentAsset,Issue,SuggestedPhoto,AspectRatio,RecommendedSize,SearchKeywords,SourceMode,Owner,Status
A-001,P0,src/pages/security.jsx:151,Security Hero,/images/security-hero.jpg,Missing local asset,Professional security team at industrial gate daytime,16:9,1920x1080,"industrial security team india, guard uniform factory gate",Custom shoot or licensed stock,Marketing,Pending
A-002,P0,src/pages/security.jsx:236,Security Guard Block,/images/security-guard.jpg,Missing local asset,Security guard with radio near corporate entrance,4:3,1600x1200,"security guard handheld radio corporate india",Licensed stock,Marketing,Pending
A-003,P0,src/pages/security.jsx:452,Security Training,/images/security-training.jpg,Missing local asset,Security training drill with instructor and trainees,16:10,1920x1200,"security training drill india classroom field",Custom shoot,Operations,Pending
A-004,P0,src/pages/manpower.jsx:39,Manpower Hero,/images/manpower-hero.jpg,Missing local asset,Diverse manpower lineup with PPE in plant,16:9,1920x1080,"industrial workforce india PPE factory",Custom shoot,Marketing,Pending
A-005,P0,src/pages/manpower.jsx:124,Workers Visual,/images/manpower-workers.jpg,Missing local asset,Assembly line workers with supervisor,4:3,1600x1200,"assembly line workers supervisor india",Licensed stock,Marketing,Pending
A-006,P0,src/pages/manpower.jsx:558,Industries Served,/images/manpower-industries.jpg,Missing local asset,Industrial sectors montage manufacturing warehouse logistics,16:10,1920x1200,"manufacturing warehouse logistics india",Designed collage,Design,Pending
A-007,P0,src/pages/housekeeping.jsx:42,Housekeeping Hero,/images/housekeeping-hero.jpg,Missing local asset,Uniformed housekeeping team in commercial facility,16:9,1920x1080,"housekeeping team commercial building india",Licensed stock,Marketing,Pending
A-008,P0,src/pages/housekeeping.jsx:268,Housekeeping Services,/images/housekeeping-services.jpg,Missing local asset,Professional cleaning in progress floor and glass,4:3,1600x1200,"facility cleaning services equipment",Licensed stock,Marketing,Pending
A-009,P0,src/pages/housekeeping.jsx:511,Housekeeping Staff,/images/housekeeping-staff.jpg,Missing local asset,Portrait of smiling housekeeping staff team,4:3,1600x1200,"housekeeping staff portrait team",Custom shoot,HR,Pending
A-010,P0,src/pages/contract.jsx:194,Contract Hero,/images/contract-hero.jpg,Missing local asset,Client and staffing lead handshake at site,16:9,1920x1080,"contract staffing handshake industrial site",Licensed stock,Marketing,Pending
A-011,P0,src/pages/contract.jsx:255,Contract Flexible,/images/contract-flexible.jpg,Missing local asset,Shift handover scene with temporary workforce,16:10,1920x1200,"shift handover workforce manufacturing",Licensed stock,Marketing,Pending
A-012,P0,src/pages/contract.jsx:124,Contract Card 1,/images/contract-project.jpg,Missing local asset,Project-based staffing team on factory floor,4:3,1600x1200,"project staffing factory team",Licensed stock,Marketing,Pending
A-013,P0,src/pages/contract.jsx:134,Contract Card 2,/images/contract-scale.jpg,Missing local asset,Large workforce briefing or onboarding queue,4:3,1600x1200,"workforce onboarding industrial",Licensed stock,Marketing,Pending
A-014,P0,src/pages/contract.jsx:144,Contract Card 3,/images/contract-onboard.jpg,Missing local asset,Candidate onboarding desk with documents and HR,4:3,1600x1200,"candidate onboarding HR desk",Licensed stock,HR,Pending
A-015,P0,src/pages/contract.jsx:154,Contract Card 4,/images/contract-seasonal.jpg,Missing local asset,Seasonal peak staffing in warehouse operations,4:3,1600x1200,"seasonal staffing warehouse",Licensed stock,Marketing,Pending
A-016,P0,src/pages/about.jsx:71,About Hero,/images/about-hero.jpg,Missing local asset,Real TSPL team group photo at office/facility,16:9,1920x1080,"corporate team group photo india office",Custom shoot,Leadership,Pending
A-017,P0,src/pages/about.jsx:141,Mission Image,/images/mission.jpg,Missing local asset,Training and mentoring session with candidates,16:10,1920x1200,"vocational training session india",Custom shoot,Training,Pending
A-018,P0,src/pages/about.jsx:34,CEO Portrait,/images/team/ceo.jpg,Missing local asset,CEO portrait neutral background branding style,1:1,1200x1200,"executive portrait corporate",Custom shoot,Leadership,Pending
A-019,P0,src/pages/about.jsx:41,Director Portrait 1,/images/team/director1.jpg,Missing local asset,Director portrait matching lighting and frame,1:1,1200x1200,"corporate director portrait",Custom shoot,Leadership,Pending
A-020,P0,src/pages/about.jsx:47,Director Portrait 2,/images/team/director2.jpg,Missing local asset,Director portrait matching style set,1:1,1200x1200,"corporate leadership portrait",Custom shoot,Leadership,Pending
A-021,P0,src/pages/about.jsx:52,Manager Portrait 1,/images/team/manager1.jpg,Missing local asset,HR manager portrait,1:1,1200x1200,"hr manager portrait",Custom shoot,HR,Pending
A-022,P0,src/pages/about.jsx:53,Manager Portrait 2,/images/team/manager2.jpg,Missing local asset,Training manager portrait,1:1,1200x1200,"training manager portrait",Custom shoot,Training,Pending
A-023,P0,src/pages/about.jsx:54,Manager Portrait 3,/images/team/manager3.jpg,Missing local asset,Client relations manager portrait,1:1,1200x1200,"client relations manager portrait",Custom shoot,Sales,Pending
A-024,P1,src/pages/jobs.jsx:38,Jobs Cards,picsum.photos seeds,Random placeholder images,Role-specific job photos per card category,3:2,1500x1000,"welder sparks, cnc operator, electrician panel, factory helper",Licensed stock,Marketing,Pending
A-025,P1,src/pages/contactus.jsx:195,Contact Hero,https://v0-improve-ui-design-weld-six.vercel.app/images/contact-hero-bg.jpg,External demo URL dependency,Branded TSPL contact/support visual from real office,16:9,1920x1080,"customer support desk india office",Custom shoot,Marketing,Pending
A-026,P1,src/components/HeroSection.jsx:10,Home Hero Fallback,gettyimages URL,Stock fallback not brand-owned,Factory floor hero with left-side text-safe space,16:9,2400x1350,"manufacturing plant india wide shot",Licensed stock or custom,Marketing,Pending
A-027,P1,src/pages/Compliance.jsx:45,Compliance Cards,Gemini + generic team images,Repeated generic placeholders,Compliance audit, payroll, statutory filing, safety compliance visuals,4:3,1600x1200,"compliance audit documents payroll statutory",Licensed stock,Compliance Team,Pending
A-028,P1,src/pages/skilled.jsx:80,Skilled Role Cards,Gemini + generic team images,Repeated generic placeholders,One real photo per trade role (welder electrician cnc fitter plumber supervisor),4:3,1600x1200,"welder at work, electrician panel, cnc machine operator, pipe fitter",Licensed stock,Training,Pending
A-029,P1,src/pages/b2b.jsx:61,B2B Service Cards,Gemini + generic team images,Repeated generic placeholders,B2B client meetings, deployment, SLA operations,4:3,1600x1200,"b2b staffing client meeting industrial",Licensed stock,Sales,Pending
A-030,P2,src/pages/achiment.jsx:26,Achievements Hero,src/assets/hero.png,Generic local hero image,Awards ceremony or recognition event photo,16:9,1920x1080,"corporate awards ceremony india",Custom shoot or licensed stock,Marketing,Pending
A-031,P2,src/pages/client.jsx:53,Client Showcase Cards,Gemini + generic team images,Repeated generic placeholders,Client site visits and service delivery evidence photos,4:3,1600x1200,"client site visit staffing services",Custom shoot,Sales,Pending
A-032,P2,src/pages/FLEXI.jsx:283,FLEXI Success Image,/Gemini_Generated_Image_qskougqskougqsko.png,AI placeholder image,Students certification/placement celebration,4:3,1600x1200,"iti students certification ceremony",Custom shoot,Training,Pending
A-033,P2,src/pages/AEDP.jsx:47,AEDP Hero,/happy-excited-executive-business-team-600nw-2424450635.jpg.webp,Generic repeated stock image,Hands-on lab or workshop training scene,16:9,1920x1080,"apprentice workshop training india",Licensed stock,Training,Pending
A-034,P2,src/pages/contract.jsx:584,Contract Contact Background,/images/contract-hero.jpg,Depends on missing image path,Subtle abstract industrial texture or blurred facility,16:9,1920x1080,"industrial texture blurred background",Designed graphic,Design,Pending
A-035,P2,src/pages/jobs.jsx:153,Jobs Fallback Image,picsum.photos fallback,Random fallback image,Neutral branded job-board fallback visual,16:9,1920x1080,"job board recruitment factory",Designed graphic,Design,Pending
